id	text	url
1.46472E+18	"@thenetworkhub We're walking on the same path SF previously walked on, a few years behind perhaps. It was one of my favourite cities, but it's certainly not on my list of places to visit after covid, given the state of things there."	https://twitter.com/h24news_ie/status/1464722966160105472
1.46472E+18	Drs Hota and Bogoch on what we know and what we need to find out about the new Covid variant of concern. https://t.co/CDU0BrFUpk via @YouTube	https://twitter.com/h24news_ie/status/1464722932769255426
1.46472E+18	"Will flight restrictions help as new virus variant emerges? 

In Wuhan when Chicoms discovered Covid 19 was spreading there should have been immediate complete lockdown by Chicoms of all Chinese &amp; all visitors to Wuhan for at least a month to avoid minimize world wide spread !"	https://twitter.com/h24news_ie/status/1464722858547073026
1.46472E+18	WHO skips two letters in Greek alphabet in naming Omicron COVID variant https://t.co/DMSowwcce6 via @nypost	https://twitter.com/h24news_ie/status/1464722853002203144
1.46472E+18	@nicolekosic 10 - 15% of all cases of Covid before this new variant were fully vaxxed people. No one ever said the vaccine was full proof 80 -90% but not full proof. That is why everyone I know fully vaxxed wears an N95 mask every where. Being fully vaxxed is no guarantee	https://twitter.com/h24news_ie/status/1464722818000568322
1.46472E+18	@Senators GOOD LUCK WITH THAT COVID SPREADER 😂😂😂😂	https://twitter.com/h24news_ie/status/1464722730905833473
1.46472E+18	"So many things we screwed up during this pandemic…because while COVID is important, other diseases exist. And yes I do expect govts in 2021 to be able to do two things at once. Possibly three or four 
#cdnpoli #MedTwitter https://t.co/Dmk9oRnx4A"	https://twitter.com/h24news_ie/status/1464722708135133190
1.46472E+18	Canadians to get biggest drop in gasoline prices since 2009 over COVID variant fears - https://t.co/qhHIRYmQLT Canadians should experience the fastest drop in gasoline prices in nearly 13 years on Sunday as fears about a virulent new COVID-19 variant are expected to provide a ...	https://twitter.com/h24news_ie/status/1464722703630454790
1.46472E+18	"@thefnsportsguy I've literally been in bed all week dealing with Covid. Be thank full that you can carry on normally. Today is better than most days. Be safe, that's priority number 1."	https://twitter.com/h24news_ie/status/1464722549690945540
1.46472E+18	"@scottmelker After 2 days on the net, I finally found the reason why crypto market crash because of the new variant of Covid-19s."	https://twitter.com/h24news_ie/status/1464722433856839684
1.46472E+18	@StepsPodcast We really need to different our reporting and make it clear what the reason was for the hospitalization. For COVID or with COVID.	https://twitter.com/h24news_ie/status/1464722392593448971
